role,grid_n,index,window,target,predicted,residual,percent_error
P,320,121,development,271.494055641645,167.58148775817537,-103.91256788346962,38.2743436639466
P,320,122,development,273.4596091884033,168.26862659175927,-105.19098259664403,38.4667347798963
P,320,123,development,275.58749264934386,169.08284992885606,-106.5046427204878,38.64639926021743
P,320,124,development,276.4520495031329,169.48198824104344,-106.97006126208947,38.69389337295444
P,320,125,development,278.25074352984194,169.57166208814712,-108.67908144169482,39.057966229671244
P,320,126,development,279.22925092774517,170.16777634752899,-109.06147458021618,39.05804073815945
P,320,127,development,282.4651147650521,170.61574174819594,-111.84937301685613,39.59758822249248
P,320,128,development,283.2111857332339,171.17342777891798,-112.03775795431591,39.55979269118559
P,320,129,development,284.83596398090475,172.1344859763056,-112.70147800459915,39.567151714084325
P,320,130,development,286.6674453630029,172.8265980833431,-113.84084727965981,39.71181559716513
P,320,131,development,287.9119205014222,173.37231113685064,-114.53960936457153,39.782864552843606
P,320,132,development,289.5798549292188,174.14832892048867,-115.43152600873015,39.86172520078952
P,320,133,development,291.8462913290674,174.3644982283819,-117.48179310068551,40.25468083410403
